season,team,TotalDraftCap,olDraftCap,olDraftPCT,PCT
2023,ARI,6859,2657,0.3873742528,0.39
2023,ATL,5032,1412,0.2806041335,0.28
2023,BAL,3736,564,0.1509635974,0.15
2023,BUF,3920,1178,0.3005102041,0.30
2023,CAR,6000,600,0.1,0.10
2023,CHI,7127,1833,0.2571909639,0.26
2023,CIN,5588,0,0,0.00
2023,CLE,3983,954,0.2395179513,0.24
2023,DAL,4821,400,0.0829703381,0.08
2023,DEN,3078,188,0.06107862248,0.06
2023,DET,7832,454,0.05796731359,0.06
2023,GB,5588,0,0,0.00
2023,HOU,8306,1229,0.1479653263,0.15
2023,IND,8173,868,0.1062033525,0.11
2023,JAX,6195,1583,0.2555286521,0.26
2023,KC,4457,709,0.1590756114,0.16
2023,LV,5588,0,0,0.00
2023,LAC,4719,441,0.09345200254,0.09
2023,LAR,6870,1570,0.2285298399,0.23
2023,MIA,2312,227,0.098183391,0.10
2023,MIN,5588,0,0,0.00
2023,NE,7150,1700,0.2377622378,0.24
2023,NO,5263,651,0.1236937108,0.12
2023,NYG,4260,951,0.2232394366,0.22
2023,NYJ,4710,1668,0.3541401274,0.35
2023,PHI,6117,885,0.1446787641,0.14
2023,PIT,5584,1863,0.3336318052,0.33
2023,SAN,5588,0,0,0.00
2023,SEA,8922,1079,0.1209370096,0.12
2023,TB,5187,1038,0.2001156738,0.20
2023,TEN,5264,2137,0.4059650456,0.41
2023,WAS,4986,1264,0.2535098275,0.25
2022,ARI,3554,466,0.1311198649,0.13
2022,ATL,6712,341,0.0508045292,0.05
2022,BAL,8494,1987,0.2339298328,0.23
2022,BUF,4774,293,0.06137410976,0.06
2022,CAR,4244,2410,0.567860509,0.57
2022,CHI,5406,1306,0.2415834258,0.24
2022,CIN,3994,510,0.1276915373,0.13
2022,CLE,4730,210,0.044397463,0.04
2022,DAL,5564,1840,0.33069734,0.33
2022,DEN,4387,394,0.08981080465,0.09
2022,DET,7466,0,0,0.00
2022,GB,6646,1409,0.2120072224,0.21
2022,HOU,8817,1923,0.218101395,0.22
2022,IND,4688,799,0.1704351536,0.17
2022,JAX,6077,885,0.145631068,0.15
2022,KC,6864,478,0.06963869464,0.07
2022,LAC,4359,1892,0.4340445056,0.43
2022,LAR,2733,826,0.3022319795,0.30
2022,LV,2646,947,0.357898715,0.36
2022,MIA,1675,0,0,0.00
2022,MIN,6501,1291,0.1985848331,0.20
2022,NE,5500,1989,0.3616363636,0.36
2022,NO,5076,1508,0.2970843184,0.30
2022,NYG,9839,3271,0.332452485,0.33
2022,NYJ,8524,613,0.07191459409,0.07
2022,PHI,4154,1007,0.2424169475,0.24
2022,PIT,4850,0,0,0.00
2022,SAN,7019,2779,0.3959253455,0.40
2022,SEA,4193,867,0.2067731934,0.21
2022,TB,4974,951,0.1911942099,0.19
2022,TEN,6337,854,0.134764084,0.13
2022,WAS,5336,244,0.04572713643,0.05
2021,ARI,4107,208,0.05064523983,0.05
2021,ATL,7057,1462,0.2071701856,0.21
2021,BAL,5642,698,0.1237149947,0.12
2021,BUF,4432,1375,0.3102436823,0.31
2021,CAR,7025,1256,0.1787900356,0.18
2021,CHI,4374,1600,0.3657978967,0.37
2021,CIN,7123,1559,0.2188684543,0.22
2021,CLE,5344,618,0.1156437126,0.12
2021,DAL,7344,730,0.09940087146,0.10
2021,DEN,6192,676,0.1091731266,0.11
2021,DET,6077,2014,0.3314135264,0.33
2021,GB,4891,1679,0.3432835821,0.34
2021,HOU,5710,0,0,0.00
2021,IND,4116,206,0.05004859086,0.05
2021,JAX,9531,1071,0.1123701605,0.11
2021,KC,3334,1153,0.3458308338,0.35
2021,LV,6137,2131,0.3472380642,0.35
2021,LAR,5710,0,0,0.00
2021,LV,5538,1808,0.3264716504,0.33
2021,MIA,7146,1348,0.1886369997,0.19
2021,MIN,7351,1411,0.1919466739,0.19
2021,NE,5310,323,0.06082862524,0.06
2021,NO,4055,300,0.07398273736,0.07
2021,NYG,5710,0,0,0.00
2021,NYJ,8426,1663,0.1973652979,0.20
2021,PHI,6026,1170,0.1941586459,0.19
2021,PIT,5255,1278,0.2431969553,0.24
2021,SAN,1762,295,0.1674233825,0.17
2021,SEA,6396,1482,0.2317073171,0.23
2021,TB,4129,692,0.1675950593,0.17
2021,TEN,5514,988,0.1791802684,0.18
2021,WAS,5961,1007,0.1689313874,0.17
2020,ARI,4480,883,0.1970982143,0.20
2020,ATL,4263,792,0.1857846587,0.19
2020,BAL,5896,1122,0.1902985075,0.19
2020,BUF,5512,0,0,0.00
2020,CAR,5512,0,0,0.00
2020,CHI,3867,504,0.1303335919,0.13
2020,BEN,6862,368,0.05362867969,0.05
2020,CLE,5664,2261,0.3991878531,0.40
2020,DAL,4986,474,0.09506618532,0.10
2020,DEN,6654,1127,0.1693718064,0.17
2020,DET,7238,1382,0.1909367229,0.19
2020,GB,4012,924,0.2303090728,0.23
2020,HOU,3286,549,0.1670724285,0.17
2020,IND,5298,464,0.08758021895,0.09
2020,JAX,8649,591,0.06833159903,0.07
2020,KC,3940,687,0.1743654822,0.17
2020,LAC,5512,0,0,0.00
2020,LAR,4821,202,0.04190002074,0.04
2020,LV,6589,623,0.09455152527,0.09
2020,MIA,9985,3291,0.3295943916,0.33
2020,MIN,8265,1445,0.1748336358,0.17
2020,NE,5878,935,0.1590677101,0.16
2020,NO,3073,1389,0.4520013017,0.45
2020,NYG,6489,3429,0.5284327323,0.53
2020,NYJ,6803,2322,0.3413200059,0.34
2020,PHI,5690,768,0.134973638,0.13
2020,PIT,3315,514,0.1550527903,0.16
2020,SAN,5174,854,0.1650560495,0.17
2020,SEA,4098,451,0.1100536847,0.11
2020,TB,4763,1700,0.3569179089,0.36
2020,TEN,3774,1294,0.342872284,0.34
