season,team,totalCapSpent,olCapSpent,olCapPCT
2023,CAR,232770000,39550000,16.99
2023,PHI,232190000,60580000,26.09
2023,DEN,231770000,42380000,18.29
2023,BUF,228640000,40740000,17.82
2023,CHI,227510000,42280000,18.58
2023,HOU,226980000,62680000,27.61
2023,PIT,226300000,44570000,19.70
2023,MIA,223980000,40510000,18.09
2023,IND,223870000,52310000,23.37
2023,TB,223680000,32580000,14.57
2023,LV,223470000,40750000,18.24
2023,NYG,223440000,34880000,15.61
2023,DET,223410000,58360000,26.12
2023,ATL,222640000,52400000,23.54
2023,BAL,222560000,49920000,22.43
2023,NYJ,222550000,43670000,19.62
2023,DAL,222100000,44730000,20.14
2023,CLE,221900000,34830000,15.70
2023,NE,221850000,39210000,17.67
2023,TEN,221490000,26170000,11.82
2023,NO,220530000,44550000,20.20
2023,WAS,219160000,32480000,14.82
2023,LAC,218510000,32200000,14.74
2023,ARI,218120000,36180000,16.59
2023,GB,218050000,39970000,18.33
2023,JAX,217780000,43750000,20.09
2023,KC,217620000,31250000,14.36
2023,LAR,217170000,31160000,14.35
2023,CIN,215840000,47220000,21.88
2023,SEA,214980000,26740000,12.44
2023,MIN,212740000,29810000,14.01
2023,SF,199530000,28100000,14.08
2022,JAX,231230000,28650000,12.39
2022,PHI,219450000,45840000,20.89
2022,SEA,215800000,28550000,13.23
2022,DAL,215340000,47130000,21.89
2022,DET,214420000,42800000,19.96
2022,HOU,212670000,38690000,18.19
2022,LAC,212130000,34470000,16.25
2022,GB,211850000,36900000,17.42
2022,DEN,211460000,51650000,24.43
2022,PIT,210660000,20210000,9.59
2022,CIN,210200000,36820000,17.52
2022,TEN,209790000,34010000,16.21
2022,MIN,208790000,24680000,11.82
2022,MIA,208560000,26890000,12.89
2022,WAS,208070000,37460000,18.00
2022,NE,208000000,30390000,14.61
2022,NO,206830000,48170000,23.29
2022,BUF,206690000,36160000,17.49
2022,SF,206080000,34960000,16.96
2022,IND,205810000,44800000,21.77
2022,KC,205250000,35500000,17.30
2022,ARI,204830000,46340000,22.62
2022,CHI,204700000,32290000,15.77
2022,BAL,204620000,42370000,20.71
2022,NYG,203670000,35220000,17.29
2022,TB,202960000,44810000,22.08
2022,NYJ,202470000,51820000,25.59
2022,CAR,202250000,43590000,21.55
2022,ATL,201720000,33260000,16.49
2022,LAR,200270000,24530000,12.25
2022,LV,199670000,23500000,11.77
2022,CLE,186510000,40390000,21.66
2021,NYJ,205740000,46290000,22.50
2021,DAL,205330000,39210000,19.10
2021,CLE,202640000,48830000,24.10
2021,NE,200570000,33150000,16.53
2021,DET,196590000,32650000,16.61
2021,MIA,195160000,26270000,13.46
2021,SF,195100000,33960000,17.41
2021,WAS,193570000,46450000,24.00
2021,CIN,191290000,31560000,16.50
2021,ARI,191130000,39710000,20.78
2021,LV,189930000,45040000,23.71
2021,BUF,189340000,40270000,21.27
2021,PHI,189180000,39420000,20.84
2021,CHI,188750000,25380000,13.45
2021,MIN,188620000,23020000,12.20
2021,DEN,188340000,32530000,17.27
2021,IND,187320000,44200000,23.60
2021,HOU,186830000,33470000,17.91
2021,ATL,185500000,32700000,17.63
2021,NO,185310000,31960000,17.25
2021,KC,185110000,29060000,15.70
2021,TEN,184420000,50110000,27.17
2021,LAR,184240000,19910000,10.81
2021,LAC,183050000,31930000,17.44
2021,BAL,182780000,28350000,15.51
2021,NYG,182520000,34140000,18.70
2021,CAR,181770000,23010000,12.66
2021,GB,181320000,28190000,15.55
2021,TB,181120000,34070000,18.81
2021,JAX,180470000,51740000,28.67
2021,PIT,175910000,26350000,14.98
2021,SEA,172700000,29850000,17.28
2020,IND,231390000,51470000,22.24
2020,BUF,218230000,43350000,19.86
2020,KC,216750000,38810000,17.91
2020,TEN,216610000,47880000,22.10
2020,LV,214150000,53460000,24.96
2020,HOU,210780000,38510000,18.27
2020,CHI,204710000,31530000,15.40
2020,CAR,204040000,55650000,27.27
2020,MIA,202760000,25950000,12.80
2020,SF,202660000,37380000,18.44
2020,DET,201270000,30000000,14.91
2020,SEA,200890000,31980000,15.92
2020,PHI,200590000,40110000,20.00
2020,GB,199880000,47640000,23.83
2020,TB,199840000,40510000,20.27
2020,ATL,199340000,47200000,23.68
2020,CLE,199100000,43520000,21.86
2020,CIN,197640000,30310000,15.34
2020,LAR,196610000,23120000,11.76
2020,LAC,195830000,34930000,17.84
2020,DEN,195780000,25520000,13.04
2020,MIN,195030000,24380000,12.50
2020,PIT,194670000,37130000,19.07
2020,ARI,194160000,29390000,15.14
2020,NO,194080000,32790000,16.90
2020,WAS,193140000,40420000,20.93
2020,NYG,192620000,36510000,18.95
2020,DAL,191280000,34350000,17.96
2020,BAL,190990000,28000000,14.66
2020,NE,186650000,39480000,21.15
2020,JAX,184290000,33800000,18.34
2020,NYJ,182500000,30580000,16.76
